"Midascontactid","Createdat","Emailpermissionstatus","Cont.Acq.Src","Email.Src.First","Segment","Segmentsecondary","Email.Acq.Dt","Email.Pref.Ch.Dt","Entry.Point.List","Cont.Acq.Src2","Cont.Acq.Dte","Prod.Buy.Last","Prod.Buy.First","Prod.Buy.Accessories","Prod.Buy.All.In.One.Desktop","Prod.Buy.Desktop","Prod.Buy.Idc","Prod.Buy.Idpd","Prod.Buy.Laptop","Prod.Buy.Servers","Prod.Buy.Software","Prod.Buy.Thnkc","Prod.Buy.Thnkp","Prod.Buy.Warranties","Prod.Buy.Workstation","Prod.Buy.Android.Tablet","Prod.Buy.Windows.Tablet","Prod.Buy.Convertible","Prod.Buy.Android.Os","Prod.Buy.Gaming","Prod.Buy.Windows.Os","Prod.Buy.Gaming.Related","Country","Eml.Sent.Num","Eml.Sent.First.Ts","Eml.Sent.Last.Ts","Eml.Open.Num","Eml.Open.First.Ts","Eml.Open.Last.Ts","Eml.Click.Num","Eml.Click.First.Ts","Eml.Click.Last.Ts","Eml.Bounce.Last.Ts","Eml.Unsub.Last.Ts","Eml.Spam.Last.Ts","Email.Domain","Em.Pref.Status","Em.Pref.Dte","Invalid.Email.Dte","Em.Spamclplt.Dte"
"1020375449","4/23/2019","I","LIDUAS16","OOBWIN15","CON","","4/22/2019","8/24/2019","|LIDUAS1608|OOBAND1407|OOBWIN1506|","LIDUAS16","3/3/2017","8/24/2019","4/22/2019","NA","4/22/2019","NA","4/22/2019","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","US","228","3/3/2017","2/20/2020","41","3/11/2017","2/17/2020","1","8/21/2019","8/21/2019","NA","NA","NA","gmail.com","I","8/24/2019","NA","NA"
"1042778096","10/16/2019","U","OOBWIN15","","CON","","NA","10/15/2019","|OOBWIN1506|","OOBWIN15","10/15/2019","10/15/2019","10/15/2019","NA","NA","NA","NA","NA","NA","NA","NA","NA","10/15/2019","NA","NA","NA","NA","NA","NA","NA","NA","NA","US","2","11/25/2019","12/24/2019","0","NA","NA","0","NA","NA","NA","NA","NA","hotmail.com","U","10/15/2019","NA","NA"
"1039527195","7/29/2019","I","NETMINNG","NETMINNG","CON","","7/29/2019","7/30/2019","|HYBRIS1506|IGNONE20121024|SAPCRMSHIP120501|","NETMINNG","7/29/2019","7/30/2019","7/30/2019","NA","NA","NA","NA","7/30/2019","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","US","121","7/29/2019","2/20/2020","4","7/29/2019","2/17/2020","0","NA","NA","NA","NA","NA","hotmail.com","I","7/30/2019","NA","NA"
"1008356168","11/29/2019","I","EPI2","EPI2","CON","","11/4/2015","11/29/2019","|HYBRIS1506|LENI2|OOBWIN1407|OOBWIN1506|RI6 PERMISSION|","EPI2","11/4/2015","11/29/2019","7/26/2016","NA","NA","7/26/2016","NA","11/29/2019","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","US","15","11/29/2019","1/13/2020","2","7/28/2016","8/6/2016","2","7/28/2016","8/6/2016","NA","11/3/2016","NA","gmail.com","I","11/29/2019","NA","NA"
"1038164470","4/30/2019","U","OOBWIN15","","CON","","NA","4/29/2019","|OOBWIN1506|","OOBWIN15","4/29/2019","4/29/2019","4/29/2019","NA","NA","4/29/2019","NA","NA","NA","NA","NA","4/29/2019","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","US","20","4/30/2019","5/24/2019","1","5/1/2019","5/26/2019","1","5/26/2019","5/26/2019","NA","NA","NA","hotmail.com","U","4/29/2019","NA","NA"
"1041467900","9/6/2019","U","OOBWIN15","","CON","","NA","9/5/2019","|OOBWIN1506|","OOBWIN15","9/5/2019","9/5/2019","9/5/2019","NA","NA","NA","NA","9/5/2019","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","US","6","9/6/2019","12/24/2019","0","NA","NA","0","NA","NA","NA","NA","NA","gmail.com","U","9/5/2019","NA","NA"
"1044033221","12/5/2019","I","CROWDS19","CROWDS19","CON","","12/4/2019","1/6/2020","|CROWDS1902|HYBORD1502|HYBRIS1506|SAPCRMSHIP120501|","CROWDS19","12/4/2019","12/7/2019","12/5/2019","NA","NA","NA","NA","12/7/2019","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","US","34","12/7/2019","2/6/2020","9","12/7/2019","2/6/2020","0","NA","NA","NA","NA","NA","danmarkcom.com","I","12/4/2019","NA","NA"
"1042279121","9/27/2019","U","OOBWIN15","","CON","","NA","9/26/2019","|OOBWIN1506|","OOBWIN15","9/26/2019","9/26/2019","9/26/2019","NA","NA","NA","NA","9/26/2019","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","US","9","11/25/2019","1/8/2020","2","12/24/2019","1/6/2020","0","NA","NA","NA","NA","NA","dukes.jmu.edu","U","9/26/2019","NA","NA"
"1042888581","10/20/2019","I","OOBWIN15","OOBWIN15","CON","","10/20/2019","10/20/2019","|OOBWIN1506|","OOBWIN15","10/20/2019","10/20/2019","10/20/2019","NA","10/20/2019","NA","10/20/2019","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","US","34","10/20/2019","1/21/2020","0","NA","NA","0","NA","NA","NA","NA","NA","gmail.com","I","10/20/2019","NA","NA"
"1044821651","12/22/2019","U","OOBWIN15","","CON","","NA","12/21/2019","|OOBWIN1506|","OOBWIN15","12/21/2019","12/21/2019","12/21/2019","NA","NA","NA","NA","NA","NA","NA","NA","NA","12/21/2019","NA","NA","NA","NA","NA","NA","NA","NA","NA","US","0","NA","NA","0","NA","NA","0","NA","NA","NA","NA","NA","gmail.com","U","12/21/2019","NA","NA"
